codigoestacion,data,daily rain,1-rain ant.rain,2-rain ant.rain,3-rain ant.rain,15-rain ant.rain,30-rain ant.rain
0011027030,2025-11-03,2.2,4.3,5.0,5.1,32.599999999999994,46.199999999999996
0011110010,2025-11-03,66.1,0.0,12.5,32.0,160.5,285.1
0011110110,2025-11-03,6.2,0.0,5.1,6.0,49.10000000000001,85.80000000000001
0011115020,2025-11-03,36.6,0.0,2.0,4.0,174.0,285.8
0011115040,2025-11-03,31.6,0.0,10.4,12.4,163.3,261.0
0011117010,2025-11-03,37.6,0.0,3.7,14.100000000000001,88.50000000000001,152.09999999999997
0011117050,2025-11-03,16.400000000000002,0.0,6.4,18.6,233.59999999999997,300.40000000000003
0016015110,2025-11-03,0.0,0.0,0.0,0.0,0.0,0.0
0016015120,2025-11-03,0.0,0.0,0.0,0.0,1.4000000000000001,57.300000000000004
0016017020,2025-11-03,0.0,0.0,0.0,0.0,5.899999999999999,77.19999999999999
0016027120,2025-11-03,0.0,0.0,0.0,0.0,0.0,0.0
0016027280,2025-11-03,0.0,0.0,0.0,6.2,22.6,408.59999999999997
0016027300,2025-11-03,0.0,0.0,0.0,0.0,52.4,202.60000000000002
0016035030,2025-11-03,0.0,0.0,0.0,0.0,0.0,0.0
0016055120,2025-11-03,0.1,0.0,0.0,0.2,24.3,55.9
0021015020,2025-11-03,16.5,0.2,0.2,1.1,32.4,68.49999999999999
0021015040,2025-11-03,7.3,0.4,0.4,0.9,26.1,46.8
0021015050,2025-11-03,0.0,0.0,0.0,0.0,0.0,0.0
0021015070,2025-11-03,0.0,0.0,0.0,0.0,0.0,0.0
0021017030,2025-11-03,15.4,0.0,0.0,0.0,34.800000000000004,78.00000000000001
0021017040,2025-11-03,15.0,0.0,0.2,2.6000000000000005,20.6,58.20000000000001
0021025030,2025-11-03,0.0,0.0,0.0,0.0,0.0,10.7
0021035040,2025-11-03,1.0999999999999999,0.0,0.1,0.9,7.8,48.1
0021037020,2025-11-03,4.0,6.0,6.0,6.0,21.199999999999996,66.8
0021045010,2025-11-03,0.0,0.0,0.0,0.0,15.8,73.3
0021050060,2025-11-03,0.6000000000000001,0.0,0.0,1.8,45.2,104.0
0021057050,2025-11-03,0.0,0.0,0.0,23.6,45.00000000000001,91.39999999999999
0021057060,2025-11-03,0.0,0.0,0.0,0.0,57.000000000000014,158.0
0021065040,2025-11-03,0.7000000000000001,0.0,0.6,1.0,29.3,61.49999999999999
0021085030,2025-11-03,1.5999999999999999,0.0,0.0,0.0,105.8,271.8
0021095010,2025-11-03,0.0,0.0,0.0,1.2000000000000002,49.3,81.50000000000001
0021097070,2025-11-03,0.0,0.0,0.0,0.0,82.0,132.0
0021105030,2025-11-03,4.2,2.8000000000000003,2.8000000000000003,2.8000000000000003,23.4,66.39999999999999
0021115100,2025-11-03,13.0,0.0,0.0,0.0,33.39999999999999,67.30000000000001
0021115170,2025-11-03,0.30000000000000004,0.1,0.1,0.2,5.300000000000001,18.900000000000006
0021117100,2025-11-03,2.5,0.0,0.0,0.0,9.0,37.7
0021125010,2025-11-03,3.1,0.0,0.0,2.9,110.0,237.3
0021127030,2025-11-03,3.2,0.0,0.0,6.800000000000001,90.2,191.2
0021130050,2025-11-03,0.0,0.0,0.0,0.0,44.8,93.7
