codigo,sensor,nombre,departamen,municipio,zona_hidro,latitud,longitud,categoria,unidad,dpto_cnmbr,mpio_cnmbr,depto_def,compara_dp,compara_mp,mpio_def,geometry,data,daily rain,1-rain ant.rain,2-rain ant.rain,3-rain ant.rain,15-rain ant.rain,30-rain ant.rain,prob_ep
21050060,240,ARGENTINA LA,HUILA,LA ARGENTINA,ALTO MAGDALENA,2.199055556,-75.97227778,PRECIPITACIÓN,mm,HUILA,LA ARGENTINA,HUILA,T,T,LA ARGENTINA,POINT (789190.9077974178 735061.4976238094),2025-11-03,0.6000000000000001,0.0,0.0,1.8,45.2,104.0,0.735
26125710,240,AEROPUERTO MATECANA,RISARALDA,PEREIRA,CAUCA,4.812675,-75.739519444,PRECIPITACIÓN,mm,RISARALDA,PEREIRA,RISARALDA,T,T,PEREIRA,POINT (815608.0110620828 1024162.5612581802),2025-11-03,32.0,0.0,0.4,12.4,344.0,826.4000000000001,0.74
21127030,240,SANTA MARIA,HUILA,SANTA MARÍA,ALTO MAGDALENA,2.971777778,-75.59244444,PRECIPITACIÓN,mm,HUILA,SANTA MARÍA,HUILA,T,T,SANTA MARÍA,POINT (831563.6603430051 820488.1333079201),2025-11-03,3.2,0.0,0.0,6.800000000000001,90.2,191.2,0.76
24035340,240,AEROPUERTO A LLERAS C,BOYACÁ,FIRAVITOBA,SOGAMOSO,5.676944444,-72.96791667,PRECIPITACIÓN,mm,BOYACÁ,FIRAVITOBA,BOYACÁ,T,T,FIRAVITOBA,POINT (1122924.9376659044 1119629.895720755),2025-11-03,0.0,0.0,0.0,3.0,51.400000000000006,94.1,0.695
27030140,240,LA PALMA DE COCO,ANTIOQUIA,SEGOVIA,NECHÍ,7.236111111,-74.80794444,PRECIPITACIÓN,mm,ANTIOQUIA,SEGOVIA,ANTIOQUIA,T,T,SEGOVIA,POINT (919329.3710642308 1292002.6374200038),2025-11-03,5.9,0.2,0.2,13.2,174.6,300.90000000000003,0.85
24035507,240,SOCHA,BOYACÁ,SOCHA,SOGAMOSO,5.982444444,-72.71044444,PRECIPITACIÓN,mm,BOYACÁ,SOCHA,BOYACÁ,T,T,SOCHA,POINT (1151371.6636005188 1153484.3234440363),2025-11-03,0.0,0.0,0.0,1.0,8.7,71.9,0.7
3516700232,240,EL TOBAL,BOYACÁ,AQUITANIA,META,5.512222222,-72.865555556,PRECIPITACIÓN,mm,BOYACÁ,AQUITANIA,BOYACÁ,T,T,AQUITANIA,POINT (1134304.086105298 1101432.8235127917),2025-11-03,1.2000000000000002,1.5,2.6,4.1,16.1,63.9,0.565
2612500214,240,BUENAVISTA,QUINDÍO,BUENAVISTA,CAUCA,4.3575,-75.736666667,PRECIPITACIÓN,mm,QUINDÍO,BUENAVISTA,QUINDÍO,T,T,BUENAVISTA,POINT (815808.002599092 973806.9312263124),2025-11-03,4.8,0.5,2.9,5.7,174.9,325.4,0.81
21205791,257,EL DORADO CATAM,BOGOTÁ,BOGOTÁ D.C,ALTO MAGDALENA,4.705583333,-74.15066667,GPRS - PRECIPITACIÓN,mm,"BOGOTÁ, D.C.",BOGOTÁ D.C,BOGOTÁ,T,T,BOGOTÁ D.C,POINT (991883.2699727719 1012096.1604533064),2025-11-03,10.306,0.0,0.0,0.0,46.081,260.227,0.78
2120000109,240,COLEGIO RODOLFO LLINAS,BOGOTÁ,BOGOTÁ D.C,ALTO MAGDALENA,4.720124,-74.108288,PRECIPITACIÓN,mm,"BOGOTÁ, D.C.",BOGOTÁ D.C,BOGOTÁ,T,T,BOGOTÁ D.C,POINT (996585.1197902975 1013703.7435458909),2025-11-03,3.9,0.0,0.0,0.0,74.0,131.7,0.605
